timestamp,open,high,low,close,volume
2024-12-21,472.7,507.4,449.6,455.6,98499.2293
2024-12-22,455.9,472.7,439.6,450.2,75415.0581
2024-12-23,450.3,508.0,440.0,485.2,115157.2002
2024-12-24,485.1,507.5,476.0,503.9,91177.8312
2024-12-25,504.0,521.7,490.5,499.8,105882.1693
2024-12-26,499.8,505.4,464.3,472.3,74414.0568
2024-12-27,472.4,496.1,463.1,469.0,86911.6176
2024-12-28,469.0,476.8,459.2,472.5,48084.3522
2024-12-29,472.7,474.1,453.5,459.1,45749.0141
2024-12-30,459.3,476.5,442.5,451.6,76496.9372
2024-12-31,451.7,458.2,436.6,441.0,62121.167
2025-01-01,441.0,491.1,435.0,489.5,67090.0388
2025-01-02,489.5,547.0,486.5,522.1,186945.2753
2025-01-03,522.3,572.3,517.6,552.6,144428.2602
2025-01-04,552.6,586.7,545.5,560.0,92257.4686
2025-01-05,560.2,573.0,547.7,562.7,58939.475
2025-01-06,562.8,588.7,541.5,555.6,134075.9846
2025-01-07,555.6,558.8,497.4,498.7,146592.4249
2025-01-08,498.7,502.3,437.7,467.0,156728.4657
2025-01-09,467.1,475.6,427.7,432.4,126439.1662
2025-01-10,432.5,455.8,418.0,438.9,186705.2369
2025-01-11,439.0,458.8,428.1,446.0,66531.7402
2025-01-12,446.0,452.8,434.6,443.8,71872.4671
2025-01-13,443.8,456.5,370.0,420.6,235091.0487
2025-01-14,420.7,433.7,410.5,417.2,105474.9044
2025-01-15,417.1,471.5,402.6,458.5,176203.1287
2025-01-16,458.6,469.8,438.3,445.5,130634.9268
2025-01-17,445.6,493.3,445.6,485.2,119223.4263
2025-01-18,485.2,495.1,440.2,457.7,161064.6293
2025-01-19,457.8,487.6,409.0,426.8,283274.8943
2025-01-20,426.7,470.3,404.9,407.7,265464.8402
2025-01-21,407.8,433.9,386.3,426.1,187926.1825
2025-01-22,425.9,435.0,397.8,399.5,97805.635
2025-01-23,399.5,403.0,370.2,379.8,205294.4259
2025-01-24,379.9,390.7,362.6,372.5,128896.7903
2025-01-25,372.5,419.1,363.1,408.8,110659.6038
2025-01-26,408.8,463.9,402.5,433.2,218065.9195
2025-01-27,433.2,480.0,386.1,445.8,450259.0314
2025-01-28,445.9,464.4,428.1,451.0,207271.8445
2025-01-29,451.0,498.0,441.3,449.0,286524.532
2025-01-30,449.0,479.4,444.5,452.9,145313.4309
2025-01-31,452.9,475.9,445.6,449.5,122043.9215
2025-02-01,449.4,471.5,390.3,393.1,179553.6074
2025-02-02,393.2,406.3,336.4,350.8,329477.3518
2025-02-03,350.8,413.2,236.1,399.3,775832.1664
2025-02-04,399.3,400.8,346.6,358.2,271507.8322
2025-02-05,358.3,370.5,341.6,350.2,164153.0127
2025-02-06,350.2,376.6,323.7,326.0,191732.1083
2025-02-07,326.1,352.8,307.5,319.6,193415.0065
2025-02-08,319.6,353.4,317.4,350.5,135325.3214
2025-02-09,350.5,370.5,342.8,365.4,150968.3938
2025-02-10,365.4,399.7,350.7,387.0,175011.7325
2025-02-11,387.0,437.4,385.7,412.6,233446.7371
2025-02-12,412.5,420.0,372.0,402.3,206130.5126
2025-02-13,402.4,415.0,368.9,382.8,148916.6874
2025-02-14,382.8,406.9,376.4,391.8,132339.1686
2025-02-15,391.8,401.9,370.9,375.2,63624.9025
2025-02-16,375.3,376.9,355.0,359.8,60141.8327
